Zeit;Kanal A
(ms);(mV)

-25,00833239;-1,30044300
-25,00333239;-1,48622000
-24,99833239;-1,30044300
-24,99333239;-0,74311020
-24,98833239;-1,11466500
-24,98333239;-1,30044300
-24,97833239;-1,48622000
-24,97333239;-1,30044300
-24,96833239;-1,85777500
-24,96333239;-1,85777500
-24,95833239;-1,85777500
-24,95333239;-1,67199800
-24,94833239;-2,22994600
-24,94333239;-2,22994600
-24,93833239;-2,22994600
-24,93333239;-2,60150100
-24,92833239;-2,41572300
-24,92333239;-2,97305600
-24,91833239;-2,97305600
-24,91333239;-3,15883400
-24,90833239;-2,97305600
-24,90333239;-2,22994600
-24,89833239;-2,22994600
-24,89333239;-2,04355300
-24,88833239;-2,97305600
-24,88333239;-1,67199800
-24,87833239;-2,41572300
-24,87333239;-1,67199800
-24,86833239;-1,67199800
-24,86333239;-1,11466500
-24,85833239;-1,67199800
-24,85333239;-2,22994600
-24,84833239;-2,22994600
-24,84333239;-1,67199800
-24,83833239;-2,04355300
-24,83333239;-1,11466500
-24,82833239;-1,67199800
-24,82333239;-1,30044300
-24,81833239;-1,11466500
-24,81333239;-1,85777500
-24,80833239;-1,30044300
-24,80333239;-1,67199800
-24,79833239;-0,92888770
-24,79333239;-0,92888770
-24,78833239;0,18577760
-24,78333239;0,00000000
-24,77833239;0,74311020
-24,77333239;0,18577760
-24,76833239;0,00000000
-24,76333239;0,00000000
-24,75833239;0,55733270
-24,75333239;0,92888770
-24,74833239;0,00000000
-24,74333239;-0,18577760
-24,73833239;0,55733270
-24,73333239;0,18577760
-24,72833239;0,55733270
-24,72333239;0,55733270
-24,71833239;0,55733270
-24,71333239;0,74311020
-24,70833239;1,11466500
-24,70333239;0,55733270
-24,69833239;0,92888770
-24,69333239;0,55733270
-24,68833239;1,85777500
-24,68333239;1,85777500
-24,67833239;1,48622000
-24,67333239;1,67199800
-24,66833239;1,67199800
-24,66333239;1,11466500
-24,65833239;1,67199800
-24,65333239;0,92888770
-24,64833239;0,55733270
-24,64333239;1,48622000
