Zeit;Kanal A
(ms);(mV)

-25,00928477;0,37155510
-25,00428477;0,00000000
-24,99928477;0,55733270
-24,99428477;0,55733270
-24,98928477;-1,11466500
-24,98428477;-0,74311020
-24,97928477;-1,11466500
-24,97428477;-0,92888770
-24,96928477;-1,67199800
-24,96428477;-1,67199800
-24,95928477;-1,11466500
-24,95428477;-0,74311020
-24,94928477;-1,11466500
-24,94428477;-0,74311020
-24,93928477;-0,74311020
-24,93428477;-0,74311020
-24,92928477;0,18577760
-24,92428477;-0,18577760
-24,91928477;-0,37155510
-24,91428477;-0,74311020
-24,90928477;-1,30044300
-24,90428477;-0,37155510
-24,89928477;-0,74311020
-24,89428477;0,00000000
-24,88928477;-0,55733270
-24,88428477;-1,11466500
-24,87928477;-0,92888770
-24,87428477;-1,11466500
-24,86928477;-1,30044300
-24,86428477;-1,30044300
-24,85928477;-1,11466500
-24,85428477;-0,37155510
-24,84928477;-0,55733270
-24,84428477;-2,04355300
-24,83928477;-1,30044300
-24,83428477;-1,30044300
-24,82928477;-1,11466500
-24,82428477;-1,30044300
-24,81928477;-1,67199800
-24,81428477;-1,30044300
-24,80928477;-2,22994600
-24,80428477;-2,78727800
-24,79928477;-2,60150100
-24,79428477;-2,04355300
-24,78928477;-2,60150100
-24,78428477;-1,85777500
-24,77928477;-2,22994600
-24,77428477;-2,04355300
-24,76928477;-1,85777500
-24,76428477;-3,15883400
-24,75928477;-2,04355300
-24,75428477;-2,22994600
-24,74928477;-2,22994600
-24,74428477;-1,85777500
-24,73928477;-1,30044300
-24,73428477;-2,41572300
-24,72928477;-2,60150100
-24,72428477;-1,85777500
-24,71928477;-1,11466500
-24,71428477;-2,04355300
-24,70928477;-1,85777500
-24,70428477;-1,48622000
-24,69928477;-1,85777500
-24,69428477;-1,67199800
-24,68928477;-2,04355300
-24,68428477;-1,67199800
-24,67928477;-1,30044300
-24,67428477;-1,30044300
-24,66928477;-0,92888770
-24,66428477;-0,18577760
-24,65928477;-1,30044300
-24,65428477;-1,30044300
