Zeit;Kanal A
(ms);(mV)

-25,00874905;-1,30044300
-25,00374905;-1,85777500
-24,99874905;-0,55733270
-24,99374905;-1,11466500
-24,98874905;-0,74311020
-24,98374905;-1,30044300
-24,97874905;-0,55733270
-24,97374905;-0,55733270
-24,96874905;0,00000000
-24,96374905;-2,60150100
-24,95874905;0,18577760
-24,95374905;-0,37155510
-24,94874905;-1,11466500
-24,94374905;-2,04355300
-24,93874905;-0,74311020
-24,93374905;-1,30044300
-24,92874905;-0,74311020
-24,92374905;-1,30044300
-24,91874905;-0,74311020
-24,91374905;-1,30044300
-24,90874905;0,00000000
-24,90374905;-0,92888770
-24,89874905;0,00000000
-24,89374905;0,37155510
-24,88874905;0,37155510
-24,88374905;1,48622000
-24,87874905;1,11466500
-24,87374906;0,92888770
-24,86874906;1,48622000
-24,86374906;0,00000000
-24,85874906;0,37155510
-24,85374906;0,00000000
-24,84874906;0,74311020
-24,84374906;-1,67199800
-24,83874906;-0,37155510
-24,83374906;-1,11466500
-24,82874906;-1,11466500
-24,82374906;-1,85777500
-24,81874906;-2,04355300
-24,81374906;-1,30044300
-24,80874906;-1,30044300
-24,80374906;-1,67199800
-24,79874906;-2,04355300
-24,79374906;-1,11466500
-24,78874906;-1,67199800
-24,78374906;-1,30044300
-24,77874906;-1,85777500
-24,77374906;-0,55733270
-24,76874906;-1,11466500
-24,76374906;-0,74311020
-24,75874906;-1,11466500
-24,75374906;-1,48622000
-24,74874906;-0,74311020
-24,74374906;-0,74311020
-24,73874906;-0,74311020
-24,73374906;-0,92888770
-24,72874906;-1,11466500
-24,72374906;-0,92888770
-24,71874906;-1,11466500
-24,71374906;-1,30044300
-24,70874906;-1,11466500
-24,70374906;-0,92888770
-24,69874906;-1,11466500
-24,69374906;-0,74311020
-24,68874906;-1,30044300
-24,68374906;-1,30044300
-24,67874906;-1,85777500
-24,67374906;-1,30044300
-24,66874906;-1,30044300
-24,66374906;-1,85777500
-24,65874906;-2,22994600
-24,65374906;-1,48622000
-24,64874906;-2,04355300
