Zeit;Kanal A
(ms);(mV)

-25,00937405;-0,92888770
-25,00437405;-1,11466500
-24,99937405;-0,92888770
-24,99437405;-1,67199800
-24,98937405;-0,55733270
-24,98437405;1,30044300
-24,97937405;-0,74311020
-24,97437405;-1,11466500
-24,96937405;-0,74311020
-24,96437405;-0,55733270
-24,95937405;-0,37155510
-24,95437405;-0,37155510
-24,94937405;-0,37155510
-24,94437405;-0,74311020
-24,93937405;-1,11466500
-24,93437405;0,18577760
-24,92937405;0,37155510
-24,92437405;-0,18577760
-24,91937405;0,55733270
-24,91437405;-0,37155510
-24,90937405;0,55733270
-24,90437405;-0,55733270
-24,89937405;0,18577760
-24,89437405;-0,37155510
-24,88937405;-1,30044300
-24,88437405;-0,37155510
-24,87937405;-2,04355300
-24,87437406;-1,30044300
-24,86937406;-1,30044300
-24,86437406;-1,67199800
-24,85937406;-1,67199800
-24,85437406;-1,85777500
-24,84937406;-1,30044300
-24,84437406;-1,11466500
-24,83937406;-0,74311020
-24,83437406;-0,55733270
-24,82937406;-0,37155510
-24,82437406;-0,37155510
-24,81937406;-0,74311020
-24,81437406;-1,30044300
-24,80937406;-1,11466500
-24,80437406;-1,11466500
-24,79937406;-0,55733270
-24,79437406;-0,74311020
-24,78937406;0,18577760
-24,78437406;0,92888770
-24,77937406;-0,92888770
-24,77437406;-0,37155510
-24,76937406;-1,11466500
-24,76437406;-1,67199800
-24,75937406;-1,11466500
-24,75437406;-1,48622000
-24,74937406;-0,74311020
-24,74437406;-0,92888770
-24,73937406;-0,37155510
-24,73437406;-1,67199800
-24,72937406;-1,11466500
-24,72437406;-1,11466500
-24,71937406;-1,67199800
-24,71437406;-0,74311020
-24,70937406;-1,67199800
-24,70437406;-1,67199800
-24,69937406;-1,48622000
-24,69437406;-2,22994600
-24,68937406;-1,67199800
-24,68437406;-1,85777500
-24,67937406;-2,22994600
-24,67437406;-2,22994600
-24,66937406;-2,04355300
-24,66437406;-2,41572300
-24,65937406;-1,85777500
-24,65437406;-1,85777500
