Zeit;Kanal A
(ms);(mV)

-25,00999905;-1,30044300
-25,00499905;-0,92888770
-24,99999905;0,00000000
-24,99499905;-0,18577760
-24,98999905;0,18577760
-24,98499905;-1,11466500
-24,97999905;-0,37155510
-24,97499905;-0,92888770
-24,96999905;0,00000000
-24,96499905;-0,37155510
-24,95999905;-0,74311020
-24,95499905;-0,18577760
-24,94999905;0,18577760
-24,94499905;0,74311020
-24,93999905;0,74311020
-24,93499905;1,48622000
-24,92999905;1,30044300
-24,92499905;0,37155510
-24,91999905;0,55733270
-24,91499905;0,55733270
-24,90999905;0,18577760
-24,90499905;0,00000000
-24,89999905;-1,11466500
-24,89499905;-0,37155510
-24,88999905;-0,55733270
-24,88499905;-0,74311020
-24,87999905;-2,04355300
-24,87499906;-1,85777500
-24,86999906;-1,11466500
-24,86499906;-1,11466500
-24,85999906;-0,92888770
-24,85499906;-1,48622000
-24,84999906;-1,30044300
-24,84499906;-1,11466500
-24,83999906;-1,48622000
-24,83499906;-1,11466500
-24,82999906;-1,11466500
-24,82499906;0,18577760
-24,81999906;-0,37155510
-24,81499906;-1,30044300
-24,80999906;-0,92888770
-24,80499906;-0,37155510
-24,79999906;-0,74311020
-24,79499906;-0,74311020
-24,78999906;-0,55733270
-24,78499906;-0,18577760
-24,77999906;-0,92888770
-24,77499906;-0,55733270
-24,76999906;-1,11466500
-24,76499906;-1,30044300
-24,75999906;-0,37155510
-24,75499906;-1,67199800
-24,74999906;-1,11466500
-24,74499906;-1,11466500
-24,73999906;-0,55733270
-24,73499906;-0,37155510
-24,72999906;-1,30044300
-24,72499906;-0,74311020
-24,71999906;-1,48622000
-24,71499906;0,00000000
-24,70999906;-1,67199800
-24,70499906;-1,67199800
-24,69999906;-1,85777500
-24,69499906;-2,97305600
-24,68999906;-2,60150100
-24,68499906;-2,04355300
-24,67999906;-1,85777500
-24,67499906;-1,30044300
-24,66999906;-2,04355300
-24,66499906;-2,22994600
-24,65999906;-2,41572300
-24,65499906;-2,97305600
-24,64999906;-1,67199800
