Zeit;Kanal A
(ms);(mV)

-23,96799908;1,30044300
-23,96299908;1,30044300
-23,95799908;0,92888770
-23,95299908;0,55733270
-23,94799908;0,74311020
-23,94299908;0,92888770
-23,93799908;0,55733270
-23,93299908;0,00000000
-23,92799908;0,18577760
-23,92299908;0,18577760
-23,91799908;0,18577760
-23,91299908;0,00000000
-23,90799908;0,92888770
-23,90299908;0,74311020
-23,89799908;1,48622000
-23,89299908;1,48622000
-23,88799908;1,85777500
-23,88299908;1,30044300
-23,87799908;2,04355300
-23,87299908;1,85777500
-23,86799908;2,22994600
-23,86299908;1,48622000
-23,85799908;3,34461100
-23,85299908;2,22994600
-23,84799908;2,41572300
-23,84299908;1,85777500
-23,83799908;0,74311020
-23,83299908;0,74311020
-23,82799908;0,92888770
-23,82299908;0,55733270
-23,81799908;1,11466500
-23,81299908;0,74311020
-23,80799908;0,18577760
-23,80299908;-0,37155510
-23,79799908;-1,48622000
-23,79299908;-0,55733270
-23,78799908;0,18577760
-23,78299908;-0,55733270
-23,77799908;-0,18577760
-23,77299908;-0,18577760
-23,76799908;-0,37155510
-23,76299908;-0,37155510
-23,75799908;0,37155510
-23,75299908;0,37155510
-23,74799908;-0,18577760
-23,74299908;0,00000000
-23,73799908;-0,55733270
-23,73299908;-0,74311020
-23,72799908;-1,30044300
-23,72299908;-0,18577760
-23,71799908;-0,74311020
-23,71299908;-1,30044300
-23,70799908;-1,11466500
-23,70299908;-1,30044300
-23,69799908;-1,67199800
-23,69299908;-1,30044300
-23,68799909;-1,67199800
-23,68299909;-1,67199800
-23,67799909;-1,67199800
-23,67299909;-2,78727800
-23,66799909;-2,04355300
-23,66299909;-1,30044300
-23,65799909;-1,11466500
-23,65299909;-0,92888770
-23,64799909;-1,30044300
-23,64299909;-1,67199800
-23,63799909;-1,30044300
-23,63299909;-1,30044300
-23,62799909;-1,30044300
-23,62299909;-0,18577760
-23,61799909;0,00000000
-23,61299909;-0,18577760
-23,60799909;0,00000000
-23,60299909;-0,18577760
-23,59799909;-0,55733270
-23,59299909;-0,74311020
-23,58799909;0,37155510
-23,58299909;-0,55733270
-23,57799909;-0,37155510
-23,57299909;-0,37155510
-23,56799909;0,18577760
-23,56299909;-0,92888770
-23,55799909;-0,37155510
-23,55299909;-0,74311020
-23,54799909;-0,74311020
-23,54299909;0,18577760
-23,53799909;-0,37155510
-23,53299909;0,00000000
-23,52799909;0,18577760
-23,52299909;0,37155510
-23,51799909;0,37155510
-23,51299909;0,55733270
-23,50799909;0,37155510
-23,50299909;0,74311020
-23,49799909;0,55733270
-23,49299909;1,11466500
-23,48799909;1,30044300
-23,48299909;0,18577760
-23,47799909;-0,37155510
-23,47299909;0,37155510
-23,46799909;-0,37155510
-23,46299909;0,18577760
-23,45799909;-1,30044300
-23,45299909;-0,92888770
-23,44799909;-0,18577760
-23,44299909;-2,04355300
-23,43799909;-0,92888770
-23,43299909;-1,30044300
-23,42799909;-1,30044300
-23,42299909;-0,74311020
-23,41799909;-1,11466500
-23,41299909;-0,18577760
-23,40799909;0,00000000
-23,40299909;-0,18577760
-23,39799909;0,37155510
-23,39299909;-1,48622000
-23,38799909;-2,22994600
-23,38299909;0,00000000
-23,37799909;-0,37155510
-23,37299909;-1,30044300
-23,36799909;-1,11466500
-23,36299909;-1,30044300
-23,35799909;0,00000000
-23,35299909;-0,37155510
-23,34799909;-0,74311020
-23,34299909;-0,92888770
-23,33799909;-1,11466500
-23,33299909;-1,67199800
-23,32799909;-1,11466500
-23,32299909;-0,74311020
-23,31799909;-1,30044300
-23,31299909;-1,67199800
-23,30799909;-0,92888770
-23,30299909;-1,67199800
-23,29799909;-1,30044300
-23,29299910;-1,11466500
-23,28799910;-1,67199800
-23,28299910;-1,11466500
-23,27799910;-1,67199800
-23,27299910;-2,60150100
-23,26799910;-2,04355300
-23,26299910;-2,22994600
-23,25799910;-2,60150100
-23,25299910;-1,67199800
-23,24799910;-2,41572300
-23,24299910;-2,04355300
-23,23799910;-2,22994600
-23,23299910;-2,04355300
-23,22799910;-2,97305600
-23,22299910;-1,85777500
-23,21799910;-1,67199800
-23,21299910;-2,04355300
-23,20799910;-0,55733270
-23,20299910;-1,67199800
-23,19799910;-2,04355300
-23,19299910;-2,04355300
-23,18799910;-1,67199800
-23,18299910;-1,67199800
-23,17799910;-2,04355300
-23,17299910;-1,11466500
