Zeit;Kanal A
(ms);(mV)

-25,00916572;0,18577760
-25,00416572;-0,37155510
-24,99916572;-0,18577760
-24,99416572;0,00000000
-24,98916572;0,18577760
-24,98416572;0,55733270
-24,97916572;0,37155510
-24,97416572;0,74311020
-24,96916572;0,18577760
-24,96416572;0,18577760
-24,95916572;0,55733270
-24,95416572;1,11466500
-24,94916572;0,92888770
-24,94416572;0,37155510
-24,93916572;0,55733270
-24,93416572;0,92888770
-24,92916572;0,55733270
-24,92416572;0,00000000
-24,91916572;0,74311020
-24,91416572;0,55733270
-24,90916572;0,92888770
-24,90416572;0,18577760
-24,89916572;1,48622000
-24,89416572;0,37155510
-24,88916572;0,74311020
-24,88416572;0,92888770
-24,87916572;1,48622000
-24,87416572;2,22994600
-24,86916572;1,67199800
-24,86416572;0,92888770
-24,85916572;2,04355300
-24,85416572;1,48622000
-24,84916572;1,48622000
-24,84416572;1,48622000
-24,83916572;0,92888770
-24,83416572;1,30044300
-24,82916572;0,92888770
-24,82416572;2,04355300
-24,81916572;1,48622000
-24,81416572;1,85777500
-24,80916572;2,41572300
-24,80416572;2,41572300
-24,79916572;1,85777500
-24,79416572;1,67199800
-24,78916572;0,18577760
-24,78416572;1,11466500
-24,77916572;0,92888770
-24,77416572;2,04355300
-24,76916572;1,11466500
-24,76416572;0,00000000
-24,75916572;2,04355300
-24,75416572;1,48622000
-24,74916572;2,04355300
-24,74416573;1,30044300
-24,73916573;0,92888770
-24,73416573;1,30044300
-24,72916573;1,11466500
-24,72416573;1,85777500
-24,71916573;1,30044300
-24,71416573;1,85777500
-24,70916573;1,48622000
-24,70416573;1,30044300
-24,69916573;1,85777500
-24,69416573;1,30044300
-24,68916573;1,48622000
-24,68416573;2,41572300
-24,67916573;1,67199800
-24,67416573;1,11466500
-24,66916573;1,48622000
-24,66416573;1,85777500
-24,65916573;1,67199800
-24,65416573;1,11466500
-24,64916573;1,67199800
-24,64416573;1,48622000
-24,63916573;1,67199800
-24,63416573;1,30044300
-24,62916573;1,30044300
