Zeit;Kanal A
(ms);(mV)

-25,00599905;-0,74311020
-25,00099905;-0,74311020
-24,99599905;-0,37155510
-24,99099905;-0,18577760
-24,98599905;-0,18577760
-24,98099905;-0,37155510
-24,97599905;-1,30044300
-24,97099905;-0,74311020
-24,96599905;-1,48622000
-24,96099905;-1,30044300
-24,95599905;-0,37155510
-24,95099905;-0,74311020
-24,94599905;-0,74311020
-24,94099905;-0,92888770
-24,93599905;-0,92888770
-24,93099905;0,18577760
-24,92599905;0,00000000
-24,92099905;0,00000000
-24,91599905;0,00000000
-24,91099905;0,18577760
-24,90599905;0,55733270
-24,90099905;-0,37155510
-24,89599905;0,00000000
-24,89099905;0,18577760
-24,88599905;-0,37155510
-24,88099905;-1,30044300
-24,87599905;0,55733270
-24,87099906;-0,92888770
-24,86599906;-0,55733270
-24,86099906;-0,37155510
-24,85599906;-1,30044300
-24,85099906;-1,30044300
-24,84599906;-1,85777500
-24,84099906;-1,11466500
-24,83599906;-1,30044300
-24,83099906;-1,30044300
-24,82599906;-1,48622000
-24,82099906;-0,55733270
-24,81599906;-1,11466500
-24,81099906;0,00000000
-24,80599906;0,18577760
-24,80099906;-0,37155510
-24,79599906;-0,37155510
-24,79099906;-0,74311020
-24,78599906;0,00000000
-24,78099906;-0,37155510
-24,77599906;-0,74311020
-24,77099906;-0,74311020
-24,76599906;-0,92888770
-24,76099906;-0,92888770
-24,75599906;-0,74311020
-24,75099906;-0,92888770
-24,74599906;-0,37155510
-24,74099906;-0,74311020
-24,73599906;-0,37155510
-24,73099906;-0,74311020
-24,72599906;-1,67199800
-24,72099906;-1,30044300
-24,71599906;-2,04355300
-24,71099906;-1,11466500
-24,70599906;-2,04355300
-24,70099906;-1,11466500
-24,69599906;-1,30044300
-24,69099906;-2,41572300
-24,68599906;-2,60150100
-24,68099906;-2,04355300
-24,67599906;-2,97305600
-24,67099906;-2,22994600
-24,66599906;-1,85777500
-24,66099906;-2,97305600
-24,65599906;-2,41572300
-24,65099906;-2,04355300
-24,64599906;-1,67199800
