Zeit;Kanal A
(ms);(mV)

-25,00699905;-1,11466500
-25,00199905;-0,55733270
-24,99699905;0,18577760
-24,99199905;0,00000000
-24,98699905;-0,74311020
-24,98199905;0,00000000
-24,97699905;-0,55733270
-24,97199905;-0,55733270
-24,96699905;0,37155510
-24,96199905;-0,37155510
-24,95699905;-0,74311020
-24,95199905;-0,55733270
-24,94699905;-0,55733270
-24,94199905;-1,48622000
-24,93699905;-0,37155510
-24,93199905;0,00000000
-24,92699905;0,37155510
-24,92199905;-0,37155510
-24,91699905;0,18577760
-24,91199905;0,37155510
-24,90699905;0,55733270
-24,90199905;0,18577760
-24,89699905;0,18577760
-24,89199905;0,74311020
-24,88699905;1,30044300
-24,88199905;0,55733270
-24,87699905;0,74311020
-24,87199906;-0,37155510
-24,86699906;0,37155510
-24,86199906;0,55733270
-24,85699906;-1,30044300
-24,85199906;-0,74311020
-24,84699906;-1,30044300
-24,84199906;-1,30044300
-24,83699906;-1,67199800
-24,83199906;-2,22994600
-24,82699906;-0,74311020
-24,82199906;-1,11466500
-24,81699906;-1,48622000
-24,81199906;-1,11466500
-24,80699906;-2,04355300
-24,80199906;-1,30044300
-24,79699906;-1,11466500
-24,79199906;-0,37155510
-24,78699906;-0,18577760
-24,78199906;-1,30044300
-24,77699906;-0,55733270
-24,77199906;-0,37155510
-24,76699906;-0,92888770
-24,76199906;-0,18577760
-24,75699906;-1,11466500
-24,75199906;-1,30044300
-24,74699906;-0,92888770
-24,74199906;-0,74311020
-24,73699906;-0,55733270
-24,73199906;-1,67199800
-24,72699906;-0,55733270
-24,72199906;-1,11466500
-24,71699906;-0,55733270
-24,71199906;-0,92888770
-24,70699906;-0,37155510
-24,70199906;-1,11466500
-24,69699906;-0,74311020
-24,69199906;-0,74311020
-24,68699906;-2,04355300
-24,68199906;-1,11466500
-24,67699906;-1,67199800
-24,67199906;-1,67199800
-24,66699906;-1,85777500
-24,66199906;-1,48622000
-24,65699906;-2,78727800
-24,65199906;-1,48622000
-24,64699906;-2,97305600
