Zeit;Kanal A
(ms);(mV)

-25,00888794;1,48622000
-25,00388794;1,11466500
-24,99888794;1,11466500
-24,99388794;1,48622000
-24,98888794;1,48622000
-24,98388794;2,04355300
-24,97888794;0,92888770
-24,97388794;2,04355300
-24,96888794;0,92888770
-24,96388794;0,74311020
-24,95888794;0,37155510
-24,95388794;0,18577760
-24,94888794;0,92888770
-24,94388794;0,37155510
-24,93888794;-0,37155510
-24,93388794;0,55733270
-24,92888794;-0,92888770
-24,92388794;0,00000000
-24,91888794;-0,37155510
-24,91388794;-0,74311020
-24,90888794;-0,37155510
-24,90388794;-0,18577760
-24,89888794;-0,55733270
-24,89388794;0,00000000
-24,88888794;-0,37155510
-24,88388794;-0,37155510
-24,87888794;-1,11466500
-24,87388794;-1,30044300
-24,86888794;0,00000000
-24,86388794;-1,11466500
-24,85888794;-0,74311020
-24,85388794;-0,74311020
-24,84888794;-0,74311020
-24,84388794;-0,37155510
-24,83888794;-1,30044300
-24,83388795;-1,11466500
-24,82888795;-1,85777500
-24,82388795;-1,30044300
-24,81888795;-1,67199800
-24,81388795;-1,67199800
-24,80888795;-1,11466500
-24,80388795;-2,22994600
-24,79888795;-2,60150100
-24,79388795;-2,04355300
-24,78888795;-1,85777500
-24,78388795;-1,85777500
-24,77888795;-1,85777500
-24,77388795;-2,22994600
-24,76888795;-2,04355300
-24,76388795;-1,30044300
-24,75888795;-0,55733270
-24,75388795;-1,30044300
-24,74888795;-1,11466500
-24,74388795;-0,37155510
-24,73888795;-0,55733270
-24,73388795;-0,74311020
-24,72888795;-1,11466500
-24,72388795;-0,37155510
-24,71888795;0,00000000
-24,71388795;-1,11466500
-24,70888795;-1,48622000
-24,70388795;-1,30044300
-24,69888795;-1,11466500
-24,69388795;-0,74311020
-24,68888795;-1,11466500
-24,68388795;-1,11466500
-24,67888795;-0,37155510
-24,67388795;-0,18577760
-24,66888795;0,18577760
-24,66388795;-0,74311020
-24,65888795;0,18577760
-24,65388795;0,37155510
-24,64888795;0,55733270
-24,64388795;0,55733270
