Zeit;Kanal A
(ms);(mV)

-25,00999905;-0,37155510
-25,00499905;0,18577760
-24,99999905;0,00000000
-24,99499905;-0,18577760
-24,98999905;-0,37155510
-24,98499905;-0,92888770
-24,97999905;0,00000000
-24,97499905;-0,55733270
-24,96999905;-1,11466500
-24,96499905;-1,11466500
-24,95999905;-1,11466500
-24,95499905;-1,11466500
-24,94999905;-0,74311020
-24,94499905;-1,11466500
-24,93999905;-0,74311020
-24,93499905;-0,55733270
-24,92999905;-0,18577760
-24,92499905;-0,37155510
-24,91999905;-0,37155510
-24,91499905;0,00000000
-24,90999905;-0,74311020
-24,90499905;-0,55733270
-24,89999905;-1,30044300
-24,89499905;-1,48622000
-24,88999905;-1,11466500
-24,88499905;-0,74311020
-24,87999905;-0,37155510
-24,87499906;-1,11466500
-24,86999906;-1,11466500
-24,86499906;-1,30044300
-24,85999906;-0,74311020
-24,85499906;-1,67199800
-24,84999906;-0,74311020
-24,84499906;-0,74311020
-24,83999906;-0,55733270
-24,83499906;-1,30044300
-24,82999906;-1,11466500
-24,82499906;-1,11466500
-24,81999906;-1,30044300
-24,81499906;-1,67199800
-24,80999906;-1,48622000
-24,80499906;-1,11466500
-24,79999906;-1,85777500
-24,79499906;-0,92888770
-24,78999906;-1,48622000
-24,78499906;-0,37155510
-24,77999906;-1,67199800
-24,77499906;-1,48622000
-24,76999906;-1,67199800
-24,76499906;-1,48622000
-24,75999906;-1,85777500
-24,75499906;-0,74311020
-24,74999906;-1,11466500
-24,74499906;-0,37155510
-24,73999906;-1,48622000
-24,73499906;-1,30044300
-24,72999906;-1,67199800
-24,72499906;-1,67199800
-24,71999906;-0,37155510
-24,71499906;-1,85777500
-24,70999906;-0,92888770
-24,70499906;-0,74311020
-24,69999906;-0,74311020
-24,69499906;-0,74311020
-24,68999906;-0,74311020
-24,68499906;-1,48622000
-24,67999906;-0,55733270
-24,67499906;-0,55733270
-24,66999906;-1,11466500
-24,66499906;-0,37155510
-24,65999906;0,00000000
-24,65499906;-0,18577760
