Zeit;Kanal A
(ms);(mV)

-25,00866572;-0,74311020
-25,00366572;-0,74311020
-24,99866572;-0,92888770
-24,99366572;0,00000000
-24,98866572;-0,37155510
-24,98366572;0,37155510
-24,97866572;0,00000000
-24,97366572;-0,18577760
-24,96866572;-0,37155510
-24,96366572;-0,37155510
-24,95866572;0,55733270
-24,95366572;0,18577760
-24,94866572;0,18577760
-24,94366572;-0,37155510
-24,93866572;0,18577760
-24,93366572;0,18577760
-24,92866572;0,74311020
-24,92366572;0,18577760
-24,91866572;1,11466500
-24,91366572;0,18577760
-24,90866572;0,92888770
-24,90366572;-0,37155510
-24,89866572;0,55733270
-24,89366572;0,55733270
-24,88866572;1,11466500
-24,88366572;0,37155510
-24,87866572;0,18577760
-24,87366572;0,74311020
-24,86866572;0,92888770
-24,86366572;0,74311020
-24,85866572;1,48622000
-24,85366572;0,74311020
-24,84866572;0,55733270
-24,84366572;1,11466500
-24,83866572;0,92888770
-24,83366572;1,11466500
-24,82866572;1,11466500
-24,82366572;1,30044300
-24,81866572;-0,37155510
-24,81366572;0,55733270
-24,80866572;1,48622000
-24,80366572;2,04355300
-24,79866572;1,48622000
-24,79366572;1,11466500
-24,78866572;1,11466500
-24,78366572;2,04355300
-24,77866572;1,30044300
-24,77366572;1,11466500
-24,76866572;1,30044300
-24,76366572;0,92888770
-24,75866572;0,55733270
-24,75366572;1,11466500
-24,74866572;4,27349900
-24,74366573;0,55733270
-24,73866573;1,11466500
-24,73366573;1,11466500
-24,72866573;0,55733270
-24,72366573;0,55733270
-24,71866573;1,30044300
-24,71366573;0,74311020
-24,70866573;0,92888770
-24,70366573;0,92888770
-24,69866573;1,11466500
-24,69366573;1,11466500
-24,68866573;1,48622000
-24,68366573;1,85777500
-24,67866573;2,04355300
-24,67366573;2,41572300
-24,66866573;1,30044300
-24,66366573;2,04355300
-24,65866573;1,67199800
-24,65366573;2,22994600
-24,64866573;1,11466500
-24,64366573;0,55733270
-24,63866573;1,30044300
-24,63366573;1,48622000
-24,62866573;1,67199800
