Zeit;Kanal A
(ms);(mV)

-25,00727178;-0,74311020
-25,00227178;-0,74311020
-24,99727178;-0,74311020
-24,99227178;-1,48622000
-24,98727178;-0,37155510
-24,98227178;-0,74311020
-24,97727178;-1,30044300
-24,97227178;-1,48622000
-24,96727178;-0,92888770
-24,96227178;-0,37155510
-24,95727178;-0,37155510
-24,95227178;-1,48622000
-24,94727178;-0,92888770
-24,94227178;-1,11466500
-24,93727178;-0,74311020
-24,93227178;-0,37155510
-24,92727178;-0,18577760
-24,92227178;-0,92888770
-24,91727178;-0,37155510
-24,91227178;-1,11466500
-24,90727178;-1,30044300
-24,90227178;-1,11466500
-24,89727178;-0,18577760
-24,89227178;-0,74311020
-24,88727178;-0,74311020
-24,88227178;-1,11466500
-24,87727178;-1,30044300
-24,87227178;-1,48622000
-24,86727178;-1,67199800
-24,86227178;-1,30044300
-24,85727178;-1,11466500
-24,85227178;-1,48622000
-24,84727178;-0,74311020
-24,84227178;-1,11466500
-24,83727178;-1,30044300
-24,83227178;0,18577760
-24,82727178;-0,37155510
-24,82227178;-0,74311020
-24,81727178;-2,60150100
-24,81227178;-1,30044300
-24,80727178;-2,22994600
-24,80227178;-1,67199800
-24,79727178;-2,22994600
-24,79227178;-1,48622000
-24,78727178;-1,11466500
-24,78227178;-0,74311020
-24,77727178;-2,22994600
-24,77227178;-2,04355300
-24,76727179;-1,48622000
-24,76227179;-1,67199800
-24,75727179;-1,30044300
-24,75227179;-1,85777500
-24,74727179;-1,48622000
-24,74227179;-0,74311020
-24,73727179;-1,67199800
-24,73227179;0,00000000
-24,72727179;-1,11466500
-24,72227179;-0,74311020
-24,71727179;-0,55733270
-24,71227179;-1,67199800
-24,70727179;-1,48622000
-24,70227179;-0,55733270
-24,69727179;-1,11466500
-24,69227179;-0,92888770
-24,68727179;-0,92888770
-24,68227179;0,18577760
-24,67727179;-0,55733270
-24,67227179;-0,74311020
-24,66727179;-0,74311020
-24,66227179;-0,37155510
-24,65727179;-0,18577760
-24,65227179;0,18577760
