Zeit;Kanal A
(ms);(V)

-4,97468365;1,07406500
-4,97457965;1,07406500
-4,97447565;1,07406500
-4,97437165;1,07406500
-4,97426765;1,07406500
-4,97416365;1,02731300
-4,97405965;1,07406500
-4,97395565;1,07406500
-4,97385165;1,02731300
-4,97374765;1,02731300
-4,97364365;1,07406500
-4,97353965;1,07406500
-4,97343565;1,07406500
-4,97333165;1,07406500
-4,97322765;1,07406500
-4,97312365;1,07406500
-4,97301965;1,12081700
-4,97291565;1,07406500
-4,97281165;1,07406500
-4,97270765;1,07406500
-4,97260365;1,07406500
-4,97249965;1,07406500
-4,97239565;1,07406500
-4,97229165;1,07406500
-4,97218765;1,07406500
-4,97208365;1,07406500
-4,97197965;1,07406500
-4,97187565;1,07406500
-4,97177165;1,07406500
-4,97166765;1,07406500
-4,97156365;1,12081700
-4,97145965;1,07406500
-4,97135565;1,07406500
-4,97125165;1,07406500
-4,97114765;1,07406500
-4,97104365;1,07406500
-4,97093965;1,02731300
-4,97083565;1,07406500
-4,97073165;1,07406500
-4,97062765;1,07406500
-4,97052365;1,07406500
-4,97041965;1,07406500
-4,97031565;1,12081700
-4,97021165;1,07406500
-4,97010765;1,07406500
-4,97000365;1,02731300
-4,96989965;1,07406500
-4,96979565;1,07406500
-4,96969165;1,07406500
-4,96958765;1,07406500
-4,96948365;1,07406500
-4,96937965;1,02731300
-4,96927565;1,07406500
-4,96917165;1,07406500
-4,96906765;1,12081700
-4,96896365;1,02731300
-4,96885965;1,07406500
-4,96875565;1,07406500
-4,96865165;1,12081700
-4,96854765;1,07406500
-4,96844365;1,07406500
-4,96833965;1,07406500
-4,96823565;1,07406500
-4,96813165;1,07406500
-4,96802765;1,07406500
-4,96792365;1,07406500
-4,96781965;1,07406500
-4,96771565;1,07406500
-4,96761165;1,12081700
-4,96750765;1,07406500
-4,96740365;1,12081700
-4,96729965;1,07406500
-4,96719565;1,07406500
-4,96709165;1,07406500
-4,96698765;1,07406500
-4,96688365;1,07406500
-4,96677965;1,07406500
-4,96667565;1,07406500
-4,96657165;1,12081700
-4,96646765;1,07406500
-4,96636365;1,12081700
-4,96625965;1,07406500
-4,96615565;1,07406500
-4,96605165;1,07406500
-4,96594765;1,12081700
-4,96584365;1,07406500
-4,96573965;1,07406500
-4,96563565;1,07406500
-4,96553165;1,07406500
-4,96542765;1,07406500
-4,96532365;1,12081700
-4,96521965;1,07406500
-4,96511565;1,07406500
-4,96501165;1,07406500
-4,96490765;1,07406500
-4,96480365;1,07406500
-4,96469965;1,07406500
-4,96459565;1,07406500
-4,96449165;1,07406500
-4,96438765;1,07406500
-4,96428365;1,12081700
-4,96417965;1,07406500
-4,96407565;1,07406500
-4,96397165;1,02731300
-4,96386765;1,07406500
-4,96376365;1,07406500
-4,96365965;1,12081700
-4,96355565;1,07406500
-4,96345165;1,07406500
-4,96334765;1,07406500
-4,96324365;1,07406500
-4,96313965;1,07406500
-4,96303565;1,07406500
-4,96293165;1,07406500
-4,96282765;1,07406500
-4,96272365;1,07406500
-4,96261965;1,07406500
-4,96251565;1,07406500
-4,96241165;1,07406500
-4,96230765;1,02731300
-4,96220365;1,12081700
-4,96209965;1,07406500
-4,96199565;1,07406500
-4,96189165;1,07406500
-4,96178765;1,07406500
-4,96168365;1,07406500
-4,96157965;1,07406500
-4,96147565;1,07406500
-4,96137165;1,07406500
-4,96126765;1,07406500
-4,96116365;1,07406500
-4,96105965;1,07406500
-4,96095565;1,07406500
-4,96085165;1,02731300
-4,96074765;1,07406500
-4,96064365;1,02731300
-4,96053965;1,12081700
-4,96043565;1,07406500
-4,96033165;1,07406500
-4,96022765;1,07406500
-4,96012365;1,07406500
